PC1,Prize,Memory,RAM,Battery_,Is_Outlier,Model_Group_Encoded
-20652240.173640173,7999.0,64.0,4.0,5000.0,0.0,5.0
-20652192.173640173,9999.0,128.0,4.0,5000.0,0.0,5.0
-20652240.173640173,7999.0,64.0,4.0,5000.0,0.0,5.0
-20652192.173640173,8999.0,128.0,6.0,5000.0,0.0,10.0
-20651582.173640173,20999.0,128.0,8.0,4500.0,0.0,17.0
-20651582.173640173,20999.0,128.0,8.0,4500.0,0.0,17.0
-20645322.173640173,15499.0,128.0,6.0,5000.0,0.0,5.0
-20652255.173640173,6999.0,32.0,2.0,5000.0,0.0,10.0
-20651582.173640173,18999.0,128.0,6.0,4500.0,0.0,17.0
-20651582.173640173,18999.0,128.0,6.0,4500.0,0.0,17.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,10.0
-20645322.173640173,15499.0,128.0,6.0,5000.0,0.0,5.0
-20651577.173640173,11999.0,64.0,4.0,5000.0,0.0,10.0
-20651427.173640173,9699.0,64.0,4.0,6000.0,0.0,12.0
-20651427.173640173,9699.0,64.0,4.0,6000.0,0.0,12.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,10.0
-20651671.173640173,7299.0,64.0,4.0,5000.0,0.0,5.0
-20651665.173640173,10499.0,128.0,4.0,5000.0,0.0,16.0
-20651665.173640173,10499.0,128.0,4.0,5000.0,0.0,16.0
-20650947.173640173,14490.0,128.0,6.0,6000.0,0.0,12.0
-20651347.173640173,16999.0,128.0,8.0,5000.0,0.0,5.0
-20651665.173640173,10499.0,128.0,4.0,5000.0,0.0,16.0
-20651665.173640173,6499.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,6499.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,5999.0,32.0,2.0,5000.0,0.0,16.0
-20651665.173640173,6499.0,32.0,3.0,5000.0,0.0,16.0
-20651582.173640173,15999.0,128.0,6.0,5000.0,0.0,10.0
-20652255.173640173,6299.0,32.0,2.0,5000.0,0.0,11.0
-20652181.173640173,13999.0,128.0,8.0,5000.0,0.0,10.0
0.0,,,,,,
-20652255.173640173,6299.0,32.0,3.0,5000.0,0.0,10.0
-20652178.173640173,14499.0,128.0,6.0,5000.0,0.0,10.0
-20652178.173640173,9999.0,64.0,4.0,5000.0,0.0,11.0
-20652189.173640173,13999.0,128.0,8.0,5000.0,0.0,16.0
-20652189.173640173,13999.0,128.0,8.0,5000.0,0.0,16.0
-20652189.173640173,11999.0,64.0,6.0,5000.0,0.0,16.0
-20652189.173640173,13999.0,128.0,8.0,5000.0,0.0,16.0
-20652189.173640173,11999.0,64.0,6.0,5000.0,0.0,16.0
-20652189.173640173,11999.0,64.0,6.0,5000.0,0.0,16.0
-20652189.173640173,10999.0,64.0,4.0,5000.0,0.0,16.0
-20652189.173640173,10999.0,64.0,4.0,5000.0,0.0,16.0
-20652189.173640173,10999.0,64.0,4.0,5000.0,0.0,16.0
0.0,,,,,,
-20650947.173640173,14490.0,128.0,6.0,6000.0,0.0,12.0
-20650947.173640173,13490.0,128.0,4.0,6000.0,0.0,12.0
